LINE_NO,LATITUDE,LONGITUDE,DATETIME,ELEVATION,Collar_ID,TEMP
542,38.9909496,-104.8829956,40674.00,2178.74,2925,13
543,38.9907777,-104.8795009,40674.25,2176.89,2925,5
544,38.9918111,-104.879194,40674.50,2178.16,2925,6
545,38.9940968,-104.8738503,40674.75,2176.12,2925,5
547,38.9946947,-104.8723312,40675.25,2095.7,2925,6
548,38.991915,-104.8792898,40675.50,2097.16,2925,13
549,38.9921405,-104.8783315,40675.75,2083.71,2925,10
550,38.9916625,-104.8727759,40676.00,2082.53,2925,7
551,38.9936306,-104.8746295,40676.25,2082.73,2925,9
552,38.9893499,-104.8802772,40676.50,2083.51,2925,20
553,38.990806,-104.8800903,40676.75,2082.41,2925,18
554,38.990558,-104.8864268,40677.00,2081.48,2925,12
555,38.9909771,-104.8846273,40677.25,2117.74,2925,10
557,38.9909055,-104.883862,40677.75,2141.87,2925,7
559,38.9852886,-104.878542,40678.25,2120.97,2925,5
560,38.9859922,-104.8819112,40678.50,2122.97,2925,7
561,38.9835049,-104.8818145,40678.75,2165.43,2925,10
562,38.9839365,-104.8847051,40679.00,2163.43,2925,9
564,38.9838852,-104.8784855,40679.50,2168.87,2925,17
565,38.9823181,-104.8817526,40679.75,2124.82,2925,19
566,38.9861227,-104.8887413,40680.00,2124.14,2925,10
567,38.9908131,-104.8849191,40680.25,2160.9,2925,9
569,38.9908619,-104.8832555,40680.75,2131.96,2925,14
570,38.9946336,-104.885859,40681.00,2150.16,2925,9
571,38.9936324,-104.8840587,40681.25,2149.24,2925,10
572,38.9952247,-104.8800229,40681.50,2142.19,2925,19
573,38.9942739,-104.8787243,40681.75,2140.71,2925,11
575,38.9938251,-104.8745704,40682.25,2145.06,2925,8
577,38.9934073,-104.8768532,40682.75,2116.54,2925,7
578,38.9936571,-104.8776268,40683.00,2129.96,2925,5
